
episode: 107/600, returns: -11.05152835044014, epsilon: 0.41
episode: 108/600, returns: 4.140786810739996, epsilon: 0.41
episode: 109/600, returns: 7.318693586091536, epsilon: 0.41
episode: 110/600, returns: 25.661058827566944, epsilon: 0.41
episode: 111/600, returns: 35.16647476155117, epsilon: 0.4
episode: 112/600, returns: 15.568058456383165, epsilon: 0.4
episode: 113/600, returns: 27.974494897709295, epsilon: 0.4
episode: 114/600, returns: 16.96717926694148, epsilon: 0.4
episode: 115/600, returns: -8.831427499418009, epsilon: 0.4
episode: 116/600, returns: 4.949684313559419, epsilon: 0.39
episode: 117/600, returns: -5.304809897499774, epsilon: 0.39
episode: 118/600, returns: -5.487091130847534, epsilon: 0.39
episode: 119/600, returns: -7.237194487338911, epsilon: 0.39
episode: 120/600, returns: -3.6396134441513595, epsilon: 0.39
episode: 121/600, returns: 8.942017726818925, epsilon: 0.38
episode: 122/600, returns: 2.209625225652405, epsilon: 0.38
episode: 123/600, returns: 4.01175037380167, epsilon: 0.38
episode: 124/600, returns: -0.7278582435714611, epsilon: 0.38
episode: 125/600, returns: -0.44391665205065467, epsilon: 0.38
episode: 126/600, returns: 0.9549358785433129, epsilon: 0.37
episode: 127/600, returns: 5.390159722513635, epsilon: 0.37
episode: 128/600, returns: -0.6585088372761106, epsilon: 0.37
episode: 129/600, returns: 23.539495087898125, epsilon: 0.37
episode: 130/600, returns: -5.534046245522177, epsilon: 0.37
episode: 131/600, returns: -14.497926901769915, epsilon: 0.36
episode: 132/600, returns: -2.588084943155013, epsilon: 0.36
episode: 133/600, returns: 8.565154909838817, epsilon: 0.36
episode: 134/600, returns: 23.230162510130867, epsilon: 0.36
episode: 135/600, returns: 2.754192003165076, epsilon: 0.36
episode: 136/600, returns: 11.820478988050354, epsilon: 0.36
episode: 137/600, returns: 13.418853230499895, epsilon: 0.35
episode: 138/600, returns: 0.21425668922263413, epsilon: 0.35
episode: 139/600, returns: 21.95596745532032, epsilon: 0.35
episode: 140/600, returns: 14.843567535690797, epsilon: 0.35
episode: 141/600, returns: 20.552026120383108, epsilon: 0.35
episode: 142/600, returns: -13.409599642564787, epsilon: 0.35
episode: 143/600, returns: 22.79447573946068, epsilon: 0.34
episode: 144/600, returns: 3.921447280948473, epsilon: 0.34
episode: 145/600, returns: 8.281266760412427, epsilon: 0.34
episode: 146/600, returns: 4.9188524503601005, epsilon: 0.34
episode: 147/600, returns: 16.916359508280653, epsilon: 0.34
episode: 148/600, returns: -1.9760983501838154, epsilon: 0.34
episode: 149/600, returns: 24.778212442531572, epsilon: 0.33
episode: 150/600, returns: 7.087840233244947, epsilon: 0.33
episode: 151/600, returns: 7.067495349283104, epsilon: 0.33
episode: 152/600, returns: 1.7288778122265627, epsilon: 0.33
episode: 153/600, returns: 12.742432949635644, epsilon: 0.33
episode: 154/600, returns: 5.952679478513437, epsilon: 0.33
episode: 155/600, returns: -4.776133164090538, epsilon: 0.32
episode: 156/600, returns: -14.191543504705407, epsilon: 0.32
episode: 157/600, returns: 16.346077395901215, epsilon: 0.32
episode: 158/600, returns: 2.142341109325764, epsilon: 0.32
episode: 159/600, returns: 4.138914476393097, epsilon: 0.32
episode: 160/600, returns: 13.902163697635638, epsilon: 0.32
episode: 161/600, returns: 21.459389011127495, epsilon: 0.31
episode: 162/600, returns: -1.2095702851867371, epsilon: 0.31
episode: 163/600, returns: 8.794726247835069, epsilon: 0.31
episode: 164/600, returns: -3.6120688162396393, epsilon: 0.31
episode: 165/600, returns: -6.886986395403983, epsilon: 0.31
episode: 166/600, returns: 19.26402265848485, epsilon: 0.31
episode: 167/600, returns: 11.028005548560781, epsilon: 0.3
episode: 168/600, returns: -12.211820748676484, epsilon: 0.3
episode: 169/600, returns: 12.593877172203065, epsilon: 0.3
episode: 170/600, returns: 15.262874047871037, epsilon: 0.3
episode: 171/600, returns: 1.733192683060338, epsilon: 0.3
episode: 172/600, returns: 0.8890079763238077, epsilon: 0.3
episode: 173/600, returns: 14.242561676329615, epsilon: 0.3
episode: 174/600, returns: -4.059922848667076, epsilon: 0.29
episode: 175/600, returns: -4.416897405951169, epsilon: 0.29
episode: 176/600, returns: 3.810631842081625, epsilon: 0.29
episode: 177/600, returns: -0.5984220157648451, epsilon: 0.29
episode: 178/600, returns: 23.851218622184046, epsilon: 0.29
episode: 179/600, returns: -3.7745135793472513, epsilon: 0.29
episode: 180/600, returns: -6.247426912650122, epsilon: 0.29
episode: 181/600, returns: -15.068246319076525, epsilon: 0.28
episode: 182/600, returns: -6.2457994890321284, epsilon: 0.28
episode: 183/600, returns: 4.08454265617288, epsilon: 0.28
episode: 184/600, returns: -9.849619480100012, epsilon: 0.28
episode: 185/600, returns: -6.449385278262207, epsilon: 0.28
episode: 186/600, returns: 5.967478178944475, epsilon: 0.28
episode: 187/600, returns: -11.73972920129172, epsilon: 0.28
episode: 188/600, returns: -6.844741370384225, epsilon: 0.27
episode: 189/600, returns: -12.68456190668063, epsilon: 0.27
episode: 190/600, returns: -7.106857212994941, epsilon: 0.27
episode: 191/600, returns: 4.730603047514296, epsilon: 0.27
episode: 192/600, returns: 2.062272540375136, epsilon: 0.27
episode: 193/600, returns: 1.0329725008480182, epsilon: 0.27
episode: 194/600, returns: -11.938691405813358, epsilon: 0.27
episode: 195/600, returns: 5.70026347012606, epsilon: 0.26
episode: 196/600, returns: 5.185706998355999, epsilon: 0.26
episode: 197/600, returns: 5.3725752099977395, epsilon: 0.26
episode: 198/600, returns: -8.755974369474677, epsilon: 0.26
episode: 199/600, returns: -10.263380477884676, epsilon: 0.26
episode: 200/600, returns: -16.3055128084893, epsilon: 0.26
episode: 201/600, returns: -9.247673097936149, epsilon: 0.26
episode: 202/600, returns: 2.22087285445391, epsilon: 0.26
episode: 203/600, returns: 0.5057397060922199, epsilon: 0.25
episode: 204/600, returns: 7.123920514563224, epsilon: 0.25
episode: 205/600, returns: 1.1423766813601333, epsilon: 0.25
episode: 206/600, returns: 4.386460658272199, epsilon: 0.25
episode: 207/600, returns: 4.662924265022184, epsilon: 0.25
episode: 208/600, returns: -7.696597699017889, epsilon: 0.25
episode: 209/600, returns: 6.75477393581366, epsilon: 0.25
episode: 210/600, returns: 7.771010555970906, epsilon: 0.25
episode: 211/600, returns: 5.080791848800504, epsilon: 0.24
episode: 212/600, returns: -10.198339032927436, epsilon: 0.24
episode: 213/600, returns: 0.9462489632404185, epsilon: 0.24
episode: 214/600, returns: 0.7968029498473015, epsilon: 0.24
episode: 215/600, returns: -9.042175679121899, epsilon: 0.24
episode: 216/600, returns: 8.30150475982282, epsilon: 0.24
episode: 217/600, returns: 0.9408937973429374, epsilon: 0.24
episode: 218/600, returns: -1.3958593938062223, epsilon: 0.24
episode: 219/600, returns: 3.3984375198859653, epsilon: 0.23
episode: 220/600, returns: -12.035964143220497, epsilon: 0.23
episode: 221/600, returns: 2.8008639624615626, epsilon: 0.23
episode: 222/600, returns: -1.3010296423871182, epsilon: 0.23
episode: 223/600, returns: 3.27558204732627, epsilon: 0.23
episode: 224/600, returns: -7.093163087615994, epsilon: 0.23
episode: 225/600, returns: -8.18945618261954, epsilon: 0.23
episode: 226/600, returns: -10.6359033738613, epsilon: 0.23
episode: 227/600, returns: -1.9778818170316868, epsilon: 0.23
episode: 228/600, returns: -4.783803605586104, epsilon: 0.22
episode: 229/600, returns: 4.272304600526309, epsilon: 0.22
episode: 230/600, returns: -7.513973973395888, epsilon: 0.22
episode: 231/600, returns: -0.7770429305816379, epsilon: 0.22
episode: 232/600, returns: 0.592265332946124, epsilon: 0.22
episode: 233/600, returns: -9.545091658876345, epsilon: 0.22
episode: 234/600, returns: -12.859331960545639, epsilon: 0.22
episode: 235/600, returns: -12.642282324267933, epsilon: 0.22
episode: 236/600, returns: -8.757140439550142, epsilon: 0.22
episode: 237/600, returns: -7.50232699249816, epsilon: 0.21
episode: 238/600, returns: -1.8813263171789003, epsilon: 0.21
episode: 239/600, returns: 0.8423876161703788, epsilon: 0.21
episode: 240/600, returns: -2.4873996423644713, epsilon: 0.21
episode: 241/600, returns: -10.416995056712425, epsilon: 0.21
episode: 242/600, returns: 0.6629878516880353, epsilon: 0.21
episode: 243/600, returns: 6.028747515707823, epsilon: 0.21
episode: 244/600, returns: -20.706861976467803, epsilon: 0.21
episode: 245/600, returns: -19.432133238601818, epsilon: 0.21
episode: 246/600, returns: -18.194323508363354, epsilon: 0.2
episode: 247/600, returns: -13.627430278184102, epsilon: 0.2
episode: 248/600, returns: -17.69902167465898, epsilon: 0.2
episode: 249/600, returns: -14.470630123727961, epsilon: 0.2
episode: 250/600, returns: -9.698959457939747, epsilon: 0.2
episode: 251/600, returns: -4.391291709340749, epsilon: 0.2
episode: 252/600, returns: -4.240918639242762, epsilon: 0.2
episode: 253/600, returns: -18.01157004562466, epsilon: 0.2
episode: 254/600, returns: -15.829853784610577, epsilon: 0.2
episode: 255/600, returns: -16.19192485238825, epsilon: 0.2
